Node Number =  35749
  -85.03337       47.28061       182.4717    
  -85.06232       47.25892       222.4872    
  -85.07098       47.23277       217.3882    
  -85.11245       47.22594       193.3854    
  -85.12427       47.19902       215.6037    
  -84.61083       47.28566       50.12733    
  -85.16486       47.19167       163.2296    
  -85.20822       47.17732       98.14187    
  -85.25063       47.16406       218.7193    
  -85.25866       47.13711       208.1891    
  -85.29283       47.12886       292.6231    
  -85.30724       47.10575       218.5234    
  -85.31983       47.07987       147.2914    
  -85.34197       47.05199       100.6501    
  -85.45766       46.89870       107.9021    
  -85.46473       46.87041       107.9861    
  -85.46310       46.84458       94.42270    
  -85.45299       46.82133       91.58356    
  -85.44787       46.79577       65.54074    
  -85.45451       46.76828       47.94960    
  -85.46500       46.73985       45.31857    
  -85.47303       46.71277       18.21244    
  -85.45081       46.69248       6.679263    
  -85.36140       47.02371       104.4266    
  -85.40187       47.01614       120.6358    
  -85.41687       46.98713       134.5609    
  -85.43747       46.95630       145.2278    
  -85.45358       46.92607       121.6959    
  -84.61771       47.31196       21.27523    
  -84.65726       47.30961       47.47957    
  -84.69446       47.31072       82.35401    
  -84.73360       47.30341       11.32097    
  -84.78105       47.30613       65.26067    
  -84.82339       47.30382       81.09147    
  -84.86217       47.29977       38.47750    
  -84.89911       47.29884       46.98246    
  -84.92512       47.31553       145.8209    
  -84.95682       47.30301       201.0219    
  -84.99040       47.29169       138.9996    
  -85.01891       47.30846       164.6656    
  -85.06239       47.30180       212.2861    
  -85.08296       47.27953       216.9865    
  -85.10194       47.25307       172.2903    
  -85.14253       47.24651       144.6353    
  -85.15337       47.21894       164.4599    
  -85.19584       47.20470       106.9021    
  -85.24002       47.19115       194.8016    
  -85.28163       47.18332       239.2552    
  -85.29146       47.15512       232.7093    
  -85.32889       47.13284       161.6070    
  -85.34689       47.10182       103.1671    
  -85.36103       47.07431       101.3449    
  -85.38271       47.04535       118.8986    
  -85.49325       46.91592       142.8510    
  -85.49615       46.88895       143.6450    
  -85.50337       46.85975       152.5842    
  -85.50371       46.83253       124.1934    
  -85.48516       46.80941       134.8738    
  -85.48576       46.78611       99.54425    
  -85.49181       46.75879       84.72879    
  -85.50317       46.73196       69.31107    
  -85.51099       46.70596       17.53981    
  -85.48807       46.68431       12.58702    
  -85.42325       47.03754       94.35651    
  -85.44207       47.00750       126.6600    
  -85.45672       46.97782       175.7047    
  -85.47684       46.94646       189.8802    
  -84.63292       47.33572       19.49029    
  -84.67624       47.33231       68.46690    
  -84.71878       47.32941       42.40678    
  -84.75932       47.32679       17.75401    
  -84.80407       47.32790       66.04046    
  -84.84512       47.32565       56.66105    
  -84.88451       47.32177       55.95608    
  -84.91176       47.34159       111.8509    
  -84.95333       47.33475       190.5379    
  -84.98573       47.32178       144.8858    
  -85.01724       47.33912       165.7926    
  -85.05033       47.32624       180.2942    
  -85.09473       47.31978       207.4441    
  -85.11214       47.29823       141.8512    
  -85.12761       47.27402       121.1289    
  -85.16916       47.26554       141.9676    
  -85.18695       47.23432       113.0219    
  -85.22616       47.21595       172.4148    
  -85.26840       47.21202       250.0175    
  -85.31309       47.19811       133.9848    
  -85.32824       47.16888       159.6453    
  -85.35922       47.14908       158.5565    
  -85.37187       47.12269       122.4138    
  -85.38826       47.09523       113.4446    
  -85.40207       47.06735       106.5612    
  -85.51662       46.93658       146.3793    
  -85.53632       46.90430       162.7717    
  -85.53057       46.87742       160.4611    
  -85.54684       46.84975       133.0788    
  -85.54350       46.82367       102.3221    
  -85.52560       46.80202       137.5233    
  -85.51933       46.77635       107.7770    
  -85.53131       46.75230       104.1718    
  -85.54274       46.72692       79.69170    
  -85.54954       46.70244       15.02918    
  -85.52657       46.67926       8.363846    
  -85.44288       47.05943       108.9116    
  -85.46356       47.02883       172.4999    
  -85.48212       46.99816       218.0428    
  -85.49656       46.96806       176.1768    
  -84.66125       47.35460       20.31587    
  -84.70238       47.35271       57.60052    
  -84.74319       47.35061       45.05569    
  -84.78400       47.34868       41.95871    
  -84.82895       47.34984       22.04432    
  -84.87031       47.34714       60.39714    
  -84.89799       47.36663       76.45963    
  -84.94150       47.36003       163.8999    
  -84.98451       47.35241       149.2351    
  -85.01665       47.36943       150.8395    
  -85.04923       47.35650       185.6163    
  -85.08217       47.34388       214.5012    
  -85.12634       47.33795       138.2885    
  -85.14392       47.31639       99.18089    
  -85.15804       47.29265       133.2890    
  -85.19900       47.28524       123.4463    
  -85.20398       47.25734       109.3563    
  -85.23542       47.23975       207.2005    
  -85.27669       47.23673       210.6136    
  -85.30930       47.22369       157.7986    
  -85.34962       47.21576       162.5517    
  -85.35330       47.19214       178.8300    
  -85.38029       47.17368       180.6201    
  -85.39781       47.14474       181.3862    
  -85.41302       47.11674       182.8235    
  -85.42919       47.08807       149.4881    
  -85.53670       46.95903       116.2461    
  -85.55678       46.92870       162.3466    
  -85.58122       46.89970       181.7669    
  -85.56764       46.87523       177.2547    
  -85.59176       46.84795       179.0403    
  -85.58071       46.82353       163.5415    
  -85.56973       46.79870       145.8310    
  -85.55621       46.77520       124.9403    
  -85.57087       46.74924       102.8941    
  -85.58588       46.72321       69.82170    
  -85.58469       46.69801       9.309142    
  -85.56545       46.67714       6.092569    
  -85.47007       47.07994       178.6176    
  -85.48359       47.05070       203.7898    
  -85.50386       47.01963       181.5361    
  -85.52232       46.98883       111.6823    
  -84.68591       47.37564       18.37426    
  -84.72651       47.37420       70.20171    
  -84.76691       47.37246       36.40116    
  -84.80813       47.37015       34.18328    
  -84.85522       47.37394       35.14789    
  -84.88900       47.39307       80.56240    
  -84.92921       47.38412       116.2892    
  -84.97353       47.37701       141.8451    
  -85.00581       47.39384       123.7139    
  -85.04846       47.38687       185.5205    
  -85.08073       47.37436       216.6399    
  -85.11338       47.36211       195.0032    
  -85.15694       47.35690       118.6307    
  -85.17482       47.33529       139.7114    
  -85.18929       47.31147       140.1983    
  -85.22989       47.30385       166.0073    
  -85.23330       47.27260       180.8888    
  -85.26649       47.26112       251.8614    
  -85.30698       47.25308       160.1330    
  -85.34131       47.24223       159.5810    
  -85.38244       47.23439       173.1975    
