Node Number =  35749
  -84.90649       47.25388       47.25388    
  -84.94302       47.25463       47.25463    
  -84.98438       47.24762       47.24762    
  -85.02795       47.24572       47.24572    
  -85.04085       47.21629       47.21629    
  -85.08317       47.20628       47.20628    
  -85.09601       47.17951       47.17951    
  -84.62625       47.26081       47.26081    
  -85.13644       47.17202       47.17202    
  -85.17648       47.16460       47.16460    
  -85.21858       47.14983       47.14983    
  -85.22755       47.12216       47.12216    
  -85.26665       47.11054       47.11054    
  -85.27891       47.08485       47.08485    
  -85.30099       47.05742       47.05742    
  -85.27971       47.03522       47.03522    
  -85.42640       46.88091       46.88091    
  -85.42484       46.85526       46.85526    
  -85.41555       46.83189       46.83189    
  -85.41156       46.80698       46.80698    
  -85.41756       46.77890       46.77890    
  -85.42805       46.74982       46.74982    
  -85.43579       46.72184       46.72184    
  -85.41406       46.70184       46.70184    
  -85.32067       47.03006       47.03006    
  -85.33644       47.00279       47.00279    
  -85.37676       46.99550       46.99550    
  -85.39793       46.96555       46.96555    
  -85.41445       46.93600       46.93600    
  -85.41925       46.90901       46.90901    
  -84.64659       47.28505       47.28505    
  -84.68915       47.28563       47.28563    
  -84.72823       47.27855       47.27855    
  -84.76496       47.28320       47.28320    
  -84.80561       47.28228       47.28228    
  -84.84687       47.27780       47.27780    
  -84.88696       47.27628       47.27628    
  -84.92764       47.28228       47.28228    
  -84.96610       47.27345       47.27345    
  -85.00247       47.26741       47.26741    
  -85.03337       47.28061       47.28061    
  -85.06232       47.25892       47.25892    
  -85.07098       47.23277       47.23277    
  -85.11245       47.22594       47.22594    
  -85.12427       47.19902       47.19902    
  -84.61083       47.28566       47.28566    
  -85.16486       47.19167       47.19167    
  -85.20822       47.17732       47.17732    
  -85.25063       47.16406       47.16406    
  -85.25866       47.13711       47.13711    
  -85.29283       47.12886       47.12886    
  -85.30724       47.10575       47.10575    
  -85.31983       47.07987       47.07987    
  -85.34197       47.05199       47.05199    
  -85.45766       46.89870       46.89870    
  -85.46473       46.87041       46.87041    
  -85.46310       46.84458       46.84458    
  -85.45299       46.82133       46.82133    
  -85.44787       46.79577       46.79577    
  -85.45451       46.76828       46.76828    
  -85.46500       46.73985       46.73985    
  -85.47303       46.71277       46.71277    
  -85.45081       46.69248       46.69248    
  -85.36140       47.02371       47.02371    
  -85.40187       47.01614       47.01614    
  -85.41687       46.98713       46.98713    
  -85.43747       46.95630       46.95630    
  -85.45358       46.92607       46.92607    
  -84.61771       47.31196       47.31196    
  -84.65726       47.30961       47.30961    
  -84.69446       47.31072       47.31072    
  -84.73360       47.30341       47.30341    
  -84.78105       47.30613       47.30613    
  -84.82339       47.30382       47.30382    
  -84.86217       47.29977       47.29977    
  -84.89911       47.29884       47.29884    
  -84.92512       47.31553       47.31553    
  -84.95682       47.30301       47.30301    
  -84.99040       47.29169       47.29169    
  -85.01891       47.30846       47.30846    
  -85.06239       47.30180       47.30180    
